Estado,Municipio,RiscoFogo,FRP
PARÁ,ANAPU,0.95,14.4
AMAPÁ,CALÇOENE,0.84,8.1
PARÁ,PACAJÁ,1.0,6.3
PARÁ,ACARÁ,0.25,11.9
PARÁ,NOVA ESPERANÇA DO PIRIÁ,0.9,121.8
PARÁ,ALMEIRIM,0.65,7.6
PARÁ,BAIÃO,0.95,67.6
PARÁ,CHAVES,0.75,16.6
PARÁ,ACARÁ,0.76,40.2
AMAPÁ,MAZAGÃO,0.8,16.8
PARÁ,ACARÁ,0.2,52.1
PARÁ,PORTO DE MOZ,0.66,43.0
PARÁ,CAMETÁ,0.86,14.6
PARÁ,PACAJÁ,0.81,104.3
PARÁ,PACAJÁ,1.0,6.3
PARÁ,PACAJÁ,0.77,49.2
PARÁ,PACAJÁ,0.97,18.9
AMAPÁ,MAZAGÃO,0.89,7.9
PARÁ,VISEU,0.92,114.8
PARÁ,BAIÃO,0.37,396.8
AMAZONAS,BOA VISTA DO RAMOS,0.34,47.5
MARANHÃO,CENTRO NOVO DO MARANHÃO,1.0,38.7
PARÁ,MOJU,0.54,10.9
PARÁ,RURÓPOLIS,0.97,52.0
PARÁ,IPIXUNA DO PARÁ,0.78,7.9
AMAZONAS,BOA VISTA DO RAMOS,0.34,41.8
PARÁ,GURUPÁ,0.38,9.6
PARÁ,PORTEL,0.59,9.7
PARÁ,MONTE ALEGRE,0.63,59.5
PARÁ,URUARÁ,0.97,31.7
PARÁ,OEIRAS DO PARÁ,0.24,22.2
PARÁ,PRAINHA,0.94,215.4
PARÁ,MOCAJUBA,0.27,11.9
PARÁ,ÓBIDOS,0.67,54.2
PARÁ,AVEIRO,0.51,36.4
PARÁ,ORIXIMINÁ,0.69,31.3
PARÁ,MARABÁ,1.0,7.4
AMAPÁ,VITÓRIA DO JARI,0.4,34.7
PARÁ,ANAPU,0.7,22.9
PARÁ,ABAETETUBA,0.05,10.9
PARÁ,NOVO REPARTIMENTO,1.0,13.4
MARANHÃO,ARAME,1.0,26.0
AMAPÁ,CALÇOENE,0.95,5.5
AMAPÁ,PRACUÚBA,0.83,10.5
PARÁ,NOVO REPARTIMENTO,1.0,70.3
PARÁ,PORTEL,0.09,10.4
PARÁ,TOMÉ-AÇU,0.89,35.1
PARÁ,RONDON DO PARÁ,0.56,8.0
MARANHÃO,TURILÂNDIA,1.0,14.9
PARÁ,SENADOR JOSÉ PORFÍRIO,0.94,6.8
PARÁ,CAMETÁ,0.78,10.1
PARÁ,NOVA ESPERANÇA DO PIRIÁ,0.9,165.6
AMAPÁ,MAZAGÃO,0.7,16.9
PARÁ,ORIXIMINÁ,0.2,206.7
PARÁ,RONDON DO PARÁ,0.59,9.8
PARÁ,PORTO DE MOZ,1.0,17.2
PARÁ,ALMEIRIM,0.66,21.4
PARÁ,IPIXUNA DO PARÁ,0.88,11.6
AMAPÁ,AMAPÁ,1.0,9.1
PARÁ,URUARÁ,1.0,23.9
PARÁ,SENADOR JOSÉ PORFÍRIO,0.95,50.6
PARÁ,URUARÁ,1.0,18.9
PARÁ,SENADOR JOSÉ PORFÍRIO,0.91,104.4
PARÁ,ITUPIRANGA,0.65,85.4
PARÁ,ALMEIRIM,0.55,12.1
PARÁ,MOJU,0.46,61.9
AMAZONAS,PARINTINS,0.28,22.5
MARANHÃO,SANTA LUZIA,0.96,49.5
PARÁ,NOVO REPARTIMENTO,1.0,9.6
PARÁ,RONDON DO PARÁ,0.66,8.2
PARÁ,NOVO REPARTIMENTO,0.96,5.8
PARÁ,RONDON DO PARÁ,0.74,9.7
PARÁ,PRAINHA,1.0,25.6
PARÁ,PORTEL,0.51,8.2
PARÁ,PACAJÁ,0.89,12.9
PARÁ,ULIANÓPOLIS,0.99,14.2
PARÁ,PACAJÁ,0.59,36.3
PARÁ,SENADOR JOSÉ PORFÍRIO,0.92,21.3
PARÁ,PACAJÁ,0.85,11.7
PARÁ,URUARÁ,1.0,29.8
PARÁ,GURUPÁ,0.1,9.1
PARÁ,TAILÂNDIA,0.72,95.7
PARÁ,BOM JESUS DO TOCANTINS,0.63,5.9
PARÁ,PRAINHA,1.0,304.4
PARÁ,BAIÃO,0.28,23.7
PARÁ,RURÓPOLIS,0.05,36.2
PARÁ,MONTE ALEGRE,0.62,23.4
PARÁ,PRAINHA,0.97,482.4
PARÁ,PRAINHA,0.97,1277.8
PARÁ,PACAJÁ,0.9,11.1
PARÁ,CURUÁ,0.6,189.2
AMAZONAS,PARINTINS,0.52,26.9
PARÁ,MARABÁ,1.0,18.9
PARÁ,URUARÁ,1.0,10.3
PARÁ,PRAINHA,0.95,12.5
PARÁ,ÓBIDOS,0.82,28.4
PARÁ,PRAINHA,0.99,12.5
PARÁ,GOIANÉSIA DO PARÁ,1.0,31.2
PARÁ,NOVO REPARTIMENTO,0.34,16.4
PARÁ,PRAINHA,0.96,159.5
PARÁ,ANAPU,0.84,15.3
PARÁ,CAMETÁ,0.22,13.6
AMAPÁ,OIAPOQUE,0.15,5.4
PARÁ,IGARAPÉ-MIRI,0.15,15.0
PARÁ,PACAJÁ,0.9,7.7
PARÁ,BAIÃO,0.81,32.5
MARANHÃO,SÃO FRANCISCO DO BREJÃO,0.85,14.1
PARÁ,PLACAS,0.81,42.0
RORAIMA,CAROEBE,0.73,82.5
PARÁ,MOJU,0.0,74.5
PARÁ,SENADOR JOSÉ PORFÍRIO,0.95,12.9
PARÁ,BOM JESUS DO TOCANTINS,0.91,5.9
AMAPÁ,MAZAGÃO,0.85,16.7
PARÁ,MELGAÇO,0.17,52.7
PARÁ,RONDON DO PARÁ,1.0,10.8
MARANHÃO,BOM JESUS DAS SELVAS,0.83,104.9
AMAPÁ,VITÓRIA DO JARI,0.29,6.2
PARÁ,ORIXIMINÁ,0.53,40.3
PARÁ,PRAINHA,1.0,2539.0
PARÁ,ITUPIRANGA,1.0,6.0
MARANHÃO,CIDELÂNDIA,0.24,16.9
MARANHÃO,SANTA LUZIA,0.97,29.2
PARÁ,IPIXUNA DO PARÁ,0.98,10.1
MARANHÃO,BREJO DE AREIA,1.0,114.4
MARANHÃO,SANTA LUZIA,0.94,12.0
MARANHÃO,GOVERNADOR NUNES FREIRE,1.0,24.9
PARÁ,URUARÁ,1.0,33.7
PARÁ,BRASIL NOVO,0.96,12.7
PARÁ,PORTEL,0.86,5.5
PARÁ,PLACAS,0.87,28.5
PARÁ,NOVA IPIXUNA,0.86,8.2
MARANHÃO,BOA VISTA DO GURUPI,1.0,49.2
PARÁ,MOJU,0.17,7.4
MARANHÃO,ARAME,0.94,22.0
PARÁ,PORTEL,0.78,7.0
PARÁ,NOVO REPARTIMENTO,1.0,9.4
PARÁ,RURÓPOLIS,0.05,26.6
AMAZONAS,NHAMUNDÁ,0.49,62.7
PARÁ,TUCURUÍ,0.4,6.4
MARANHÃO,BURITICUPU,0.94,49.0
PARÁ,NOVO REPARTIMENTO,0.0,57.7
PARÁ,NOVO REPARTIMENTO,0.93,15.4
PARÁ,BAIÃO,0.79,22.9
PARÁ,RONDON DO PARÁ,0.84,19.0
PARÁ,TOMÉ-AÇU,0.78,22.6
PARÁ,PACAJÁ,0.95,7.6
PARÁ,SENADOR JOSÉ PORFÍRIO,0.92,9.5
PARÁ,MARABÁ,1.0,9.9
PARÁ,NOVO REPARTIMENTO,1.0,53.6
PARÁ,PORTEL,0.79,19.5
PARÁ,PACAJÁ,0.75,13.8
AMAPÁ,MAZAGÃO,0.7,40.7
MARANHÃO,MARACAÇUMÉ,1.0,18.1
PARÁ,PRAINHA,1.0,331.5
RORAIMA,CAROEBE,0.56,102.2
PARÁ,PRAINHA,0.98,273.6
MARANHÃO,MARANHÃOZINHO,1.0,42.4
PARÁ,GURUPÁ,0.11,29.5
AMAPÁ,PRACUÚBA,0.83,8.6
PARÁ,SÃO FÉLIX DO XINGU,0.99,186.7
PARÁ,ALENQUER,0.59,22.8
PARÁ,ANAPU,0.86,7.1
PARÁ,TOMÉ-AÇU,0.88,9.3
PARÁ,ÓBIDOS,0.61,22.4
PARÁ,MOJUÍ DOS CAMPOS,0.92,95.2
PARÁ,PRAINHA,1.0,15.6
PARÁ,NOVO REPARTIMENTO,0.89,9.4
PARÁ,BRASIL NOVO,1.0,22.6
PARÁ,MOJU,0.41,27.2
PARÁ,TAILÂNDIA,0.56,56.6
PARÁ,ANAPU,0.52,8.6
PARÁ,ÓBIDOS,0.76,28.0
PARÁ,GOIANÉSIA DO PARÁ,1.0,6.9
PARÁ,RONDON DO PARÁ,0.85,22.3
PARÁ,DOM ELISEU,0.76,6.4
PARÁ,PARAGOMINAS,1.0,10.5
PARÁ,SENADOR JOSÉ PORFÍRIO,0.94,31.9
PARÁ,MOJU,0.19,11.3
MARANHÃO,CENTRO NOVO DO MARANHÃO,0.98,32.0
PARÁ,ÓBIDOS,0.62,13.1
PARÁ,PRAINHA,1.0,34.7
PARÁ,CAMETÁ,0.74,10.9
MARANHÃO,TURIAÇU,1.0,28.1
PARÁ,MEDICILÂNDIA,1.0,36.9
AMAPÁ,PRACUÚBA,1.0,7.0
PARÁ,NOVO REPARTIMENTO,0.96,10.2
PARÁ,BREU BRANCO,0.4,32.2
PARÁ,PRAINHA,1.0,155.6
PARÁ,SENADOR JOSÉ PORFÍRIO,0.33,49.3
PARÁ,ORIXIMINÁ,0.74,24.6
PARÁ,BAGRE,0.69,17.1
PARÁ,PRAINHA,1.0,3079.7
PARÁ,BAIÃO,0.85,8.9
PARÁ,PACAJÁ,0.87,29.8
PARÁ,GURUPÁ,0.33,14.8
AMAPÁ,MAZAGÃO,0.91,10.9
PARÁ,ANAPU,0.92,12.5
MARANHÃO,ARARI,1.0,17.0
PARÁ,SENADOR JOSÉ PORFÍRIO,0.98,6.3
PARÁ,BAIÃO,0.37,47.9
AMAPÁ,VITÓRIA DO JARI,0.48,14.8
PARÁ,MELGAÇO,0.18,5.3
AMAPÁ,VITÓRIA DO JARI,0.29,7.2
PARÁ,PORTEL,0.48,5.8
MARANHÃO,LUÍS DOMINGUES,0.97,19.8
PARÁ,DOM ELISEU,0.81,10.6
PARÁ,TAILÂNDIA,0.78,9.5
MARANHÃO,BOA VISTA DO GURUPI,1.0,10.7
AMAPÁ,MAZAGÃO,0.12,7.6
PARÁ,NOVA ESPERANÇA DO PIRIÁ,0.89,22.0
AMAPÁ,MAZAGÃO,0.56,10.9
PARÁ,NOVO REPARTIMENTO,0.85,15.1
PARÁ,PACAJÁ,0.86,8.3
PARÁ,IPIXUNA DO PARÁ,0.95,7.7
PARÁ,ITUPIRANGA,1.0,13.8
PARÁ,BAIÃO,0.49,14.8
PARÁ,NOVO REPARTIMENTO,0.96,6.3
PARÁ,MOJU,0.53,19.8
PARÁ,PLACAS,0.96,14.9
PARÁ,RURÓPOLIS,0.41,138.2
RORAIMA,NORMANDIA,1.0,79.1
PARÁ,URUARÁ,0.98,37.4
PARÁ,OEIRAS DO PARÁ,0.37,10.1
AMAPÁ,PRACUÚBA,0.77,25.9
PARÁ,VISEU,0.93,29.1
PARÁ,NOVO REPARTIMENTO,0.01,16.0
PARÁ,MOJU,1.0,11.9
AMAPÁ,MAZAGÃO,0.69,7.2
PARÁ,PACAJÁ,0.92,12.9
PARÁ,TOMÉ-AÇU,0.41,9.7
AMAPÁ,VITÓRIA DO JARI,0.82,16.2
PARÁ,PACAJÁ,0.85,27.5
MARANHÃO,BREJO DE AREIA,0.98,21.1
PARÁ,PORTEL,0.65,8.1
PARÁ,IGARAPÉ-MIRI,0.06,10.5
PARÁ,NOVA ESPERANÇA DO PIRIÁ,0.96,9.0
MARANHÃO,SATUBINHA,1.0,14.3
PARÁ,PORTEL,0.94,9.1
PARÁ,MOCAJUBA,0.25,11.0
PARÁ,MARABÁ,0.99,9.9
PARÁ,MARACANÃ,0.91,14.0
PARÁ,PRAINHA,1.0,17.4
PARÁ,BOM JESUS DO TOCANTINS,0.63,6.8
PARÁ,ANAPU,0.68,25.8
PARÁ,URUARÁ,1.0,14.6
MARANHÃO,BURITICUPU,0.97,46.1
PARÁ,MARABÁ,1.0,15.9
AMAPÁ,OIAPOQUE,1.0,10.0
PARÁ,ÓBIDOS,0.67,68.9
PARÁ,SANTARÉM,1.0,64.5
PARÁ,URUARÁ,1.0,28.0
PARÁ,ANAPU,0.65,9.8
AMAPÁ,MAZAGÃO,0.38,7.6
PARÁ,NOVO REPARTIMENTO,1.0,7.5
PARÁ,VISEU,0.98,68.0
PARÁ,ALENQUER,0.86,194.7
PARÁ,SÃO FÉLIX DO XINGU,0.19,15.1
MARANHÃO,GOVERNADOR NUNES FREIRE,1.0,33.6
PARÁ,SENADOR JOSÉ PORFÍRIO,0.93,50.0
AMAZONAS,NHAMUNDÁ,0.23,30.1
PARÁ,NOVO REPARTIMENTO,0.12,9.1
PARÁ,PRAINHA,0.98,963.9
RORAIMA,BONFIM,1.0,69.6
MARANHÃO,ITINGA DO MARANHÃO,0.88,12.0
MARANHÃO,PINHEIRO,1.0,16.3
PARÁ,MEDICILÂNDIA,0.92,91.8
PARÁ,PACAJÁ,0.62,41.3
PARÁ,SANTARÉM,1.0,14.5
PARÁ,NOVO REPARTIMENTO,1.0,9.9
PARÁ,SENADOR JOSÉ PORFÍRIO,0.54,15.2
PARÁ,PACAJÁ,0.85,12.8
MARANHÃO,ALTO ALEGRE DO PINDARÉ,1.0,20.1
PARÁ,MARABÁ,0.67,8.6
MARANHÃO,BOM JESUS DAS SELVAS,0.99,41.7
PARÁ,TOMÉ-AÇU,1.0,25.5
PARÁ,MARABÁ,0.78,6.7
PARÁ,NOVO REPARTIMENTO,0.89,8.6
PARÁ,SANTARÉM,1.0,52.7
PARÁ,JURUTI,0.64,30.8
PARÁ,RONDON DO PARÁ,0.84,34.3
PARÁ,BAIÃO,0.44,8.2
PARÁ,PACAJÁ,0.85,49.5
PARÁ,NOVO REPARTIMENTO,1.0,19.4
PARÁ,ABAETETUBA,0.06,5.5
PARÁ,SENADOR JOSÉ PORFÍRIO,0.87,110.0
PARÁ,ORIXIMINÁ,0.2,156.2
PARÁ,ORIXIMINÁ,1.0,25.3
PARÁ,BOM JESUS DO TOCANTINS,0.33,69.9
AMAZONAS,NHAMUNDÁ,0.52,22.4
